distance|frequency|height|power|angle|carrier
11198.7237007163|19425000000.0|40.4|20.4|293.0|kpn
11198.7237007163|18415000000.0|104.0|20.4|112.9|kpn
1833.37368445355|31899000000.0|15.0|10.6|23.2|t-mobile
1833.37368445355|32711000000.0|37.8|10.6|203.2|t-mobile
958.027950409972|37632000000.0|15.0|7.6|239.0|unknown
958.027950409972|38570000000.0|38.0|19.0|58.9|unknown
7020.66049436522|32711000000.0|33.5|20.6|234.1|t-mobile
7020.66049436522|19645000000.0|32.9|13.4|54.0|t-mobile
5231.96642797995|38864000000.0|33.5|21.1|249.5|kpn
5231.96642797995|37366000000.0|18.0|11.0|69.4|kpn
1948.06626222194|71500000000.0|33.0|30.9|53.1|t-mobile
1948.06626222194|81500000000.0|27.5|30.9|233.1|t-mobile
10792.4828157459|71875000000.0|41.0|26.9|56.3|kpn
10792.4828157459|84000000000.0|36.0|34.9|236.3|kpn
10792.4828157459|71875000000.0|41.0|26.9|56.3|kpn
10792.4828157459|84000000000.0|36.0|34.9|236.3|kpn
8249.94108195045|23422000000.0|33.0|25.3|61.7|vodafone
8249.94108195045|19645000000.0|32.9|25.4|241.8|vodafone
6546.63796790059|81500000000.0|33.6|34.9|330.2|t-mobile
6546.63796790059|31899000000.0|32.2|22.6|150.2|t-mobile
5238.41108692025|22526000000.0|33.0|18.2|68.4|vodafone
5238.41108692025|23534000000.0|36.0|18.2|248.5|vodafone
997.621425240182|37422000000.0|33.0|1.0|70.4|vodafone
997.621425240182|38682000000.0|24.0|1.0|250.4|vodafone
20864.530310135|81500000000.0|15.0|29.9|149.3|prorail
20864.530310135|37212000000.0|12.0|-9.1|329.4|prorail
6048.94906158264|22526000000.0|33.0|25.3|74.4|vodafone
6048.94906158264|23534000000.0|27.0|16.2|254.4|vodafone
1270.09100565998|23478000000.0|32.0|25.3|123.6|t-mobile
1270.09100565998|37926000000.0|32.6|1.3|303.6|t-mobile
1994.95452191572|31899000000.0|28.0|19.6|81.7|vodafone
1994.95452191572|32711000000.0|15.0|19.6|261.7|vodafone
6512.01586704179|28095000000.0|33.8|19.6|253.4|unknown
6512.01586704179|17755000000.0|98.0|27.9|73.4|unknown
9018.27140678059|22526000000.0|32.0|25.3|266.2|vodafone
9018.27140678059|23534000000.0|33.0|20.2|86.1|vodafone
9450.23708730932|83000000000.0|29.5|32.9|95.5|kpn
9450.23708730932|28382000000.0|37.0|28.5|275.5|kpn
2452.66616522901|37352000000.0|33.0|10.0|97.2|vodafone
